62: you
4: probably
4: think
17: that
4: are
17: better
17: now
9: only
12: say
8: 'cause
6: i'm
18: not
16: around
12: know
28: i
8: never
8: meant
13: to
16: let
16: down
16: woulda
16: gave
8: anything
9: everything
4: am
6: you're
4: oh
3: whoa
1: did
1: believe
3: it
1: would
1: end
3: no
1: came
1: second
4: the
1: benzo
1: even
1: speaking
9: my
1: friends
1: knew
1: all
1: uncles
4: and
1: aunts
1: though
1: twenty
1: candles
1: blow
1: 'em
1: out
1: open
4: your
1: eyes
1: we
1: were
2: looking
1: forward
1: rest
2: of
1: our
1: lives
1: used
2: keep
1: picture
1: posted
1: by
1: bedside
3: it's
1: in
1: dresser
3: with
1: socks
1: don't
3: like
4: rollin'
1: brothers
2: jonas
1: drinkin'
1: henney
1: tryna
1: forget
1: but
1: can't
1: get
1: this
1: shit
1: outta
1: head
1: seen
1: other
1: dude
2: he
1: seemed
2: was
1: pretty
1: cool
1: so
1: broken
1: over
4: life
1: goes
3: on
2: what
1: can
1: do
1: just
1: wonder
2: gonna
2: take
1: what's
1: another
1: foreign
1: or
1: a
2: bigger
2: chain
1: because
2: matter
2: how
2: has
2: changed
1: back
1: days
1: promise
1: swear
1: i'll
1: be
1: okay
1: love
